timestamp,joints,joint angle
23/06/11 17:33:35.204,"[12, 11, 10]",166.83991060257378
23/06/11 17:33:35.205,"[16, 15, 14]",171.81175702976867
23/06/11 17:33:35.205,"[20, 19, 18]",166.9340610049981
23/06/11 17:33:35.205,"[4, 3, 2]",178.10398537256648
23/06/11 17:33:35.205,"[3, 2, 1]",174.82087035142948
23/06/11 17:33:35.206,"[2, 1, 0]",152.9321875073098
23/06/11 17:33:35.206,"[8, 7, 6]",168.75435480532235
23/06/11 17:33:35.206,"[12, 11, 10]",169.9826995587395
23/06/11 17:33:35.206,"[16, 15, 14]",175.04770149939495
23/06/11 17:33:35.207,"[20, 19, 18]",176.82841511873985
23/06/11 17:33:35.267,"[4, 3, 2]",177.54545615331114
23/06/11 17:33:35.268,"[3, 2, 1]",176.88419542130657
23/06/11 17:33:35.268,"[2, 1, 0]",152.17402134645297
23/06/11 17:33:35.268,"[8, 7, 6]",135.58461686317068
23/06/11 17:33:35.268,"[12, 11, 10]",169.13981361337082
23/06/11 17:33:35.269,"[16, 15, 14]",172.7243572093826
23/06/11 17:33:35.269,"[20, 19, 18]",167.76067394574682
23/06/11 17:33:35.269,"[4, 3, 2]",169.78671228358772
23/06/11 17:33:35.269,"[3, 2, 1]",175.45465849835358
23/06/11 17:33:35.270,"[2, 1, 0]",149.9804584111095
23/06/11 17:33:35.270,"[8, 7, 6]",165.1108802598655
23/06/11 17:33:35.270,"[12, 11, 10]",167.06965601919376
23/06/11 17:33:35.270,"[16, 15, 14]",169.70701732252041
23/06/11 17:33:35.271,"[20, 19, 18]",172.32890316321175
23/06/11 17:33:35.337,"[4, 3, 2]",178.3770846764196
23/06/11 17:33:35.337,"[3, 2, 1]",177.53857243293504
23/06/11 17:33:35.337,"[2, 1, 0]",150.591990284023
23/06/11 17:33:35.338,"[8, 7, 6]",133.44849872503525
23/06/11 17:33:35.338,"[12, 11, 10]",166.93683134706544
23/06/11 17:33:35.338,"[16, 15, 14]",171.32969526517442
23/06/11 17:33:35.338,"[20, 19, 18]",166.36657628551512
23/06/11 17:33:35.339,"[4, 3, 2]",176.20886644193214
23/06/11 17:33:35.339,"[3, 2, 1]",172.14062879851355
23/06/11 17:33:35.339,"[2, 1, 0]",152.2186543409815
23/06/11 17:33:35.339,"[8, 7, 6]",169.94731321756328
23/06/11 17:33:35.340,"[12, 11, 10]",167.03842795726024
23/06/11 17:33:35.340,"[16, 15, 14]",174.09140682700027
23/06/11 17:33:35.340,"[20, 19, 18]",177.5094559163214
23/06/11 17:33:35.403,"[4, 3, 2]",177.53011539095615
23/06/11 17:33:35.403,"[3, 2, 1]",178.01968038895092
23/06/11 17:33:35.404,"[2, 1, 0]",149.99498816808992
23/06/11 17:33:35.404,"[8, 7, 6]",133.17505526039645
23/06/11 17:33:35.404,"[12, 11, 10]",167.51589673244337
23/06/11 17:33:35.404,"[16, 15, 14]",171.66241845499303
23/06/11 17:33:35.405,"[20, 19, 18]",167.1908381009593
23/06/11 17:33:35.405,"[4, 3, 2]",175.71623145759673
