time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
12:25:22.727,0,-0.01,-0.01,-0.01,0,0,-0.01,-0.01
12:25:22.743,0,-0.01,-0.01,-0.01,0,0,-0.01,-0.01
12:25:22.757,0,0,0,0.01,0,0,0,-0.01
12:25:22.801,0,0,0,0,0,0,0,0
12:25:22.815,0,0,0,-0.01,0,0,0.01,0
12:25:22.826,-0.02,0,0,0,0,0,0,-0.01
12:25:22.839,0,0,0,0,-0.01,0,-0.01,0
12:25:22.852,-0.01,0,-0.02,0,-0.01,0,0,0
12:25:22.867,0,0,0,0,0,-0.02,0.01,0
12:25:22.912,0,-0.01,0,-0.01,0.01,0,0,0
12:25:22.926,0,0,-0.01,0,0,-0.01,0,0.01
12:25:22.939,0,0,0,-0.01,0,0,0,-0.01
12:25:22.952,-0.01,-0.03,0,-0.01,-0.01,-0.01,0,-0.01
12:25:22.966,0,0,0,0,0,-0.01,0,-0.01
12:25:22.980,0,0,0,0,-0.01,0,0,0
12:25:23.037,0,-0.03,0,0,-0.01,-0.01,-0.01,0
12:25:23.057,0,0,-0.01,0,0,0,-0.01,0
12:25:23.068,0,-0.01,-0.02,-0.01,-0.01,0,0,0
12:25:23.080,0,-0.01,-0.02,-0.01,-0.01,0,0,0
12:25:23.143,-0.01,0,0,-0.01,-0.01,0,-0.01,0
12:25:23.155,0,0.01,-0.01,-0.03,0,0,0.03,0
12:25:23.171,0,-0.01,0,0,0,-0.01,-0.01,0
12:25:23.182,-0.02,0,-0.01,-0.01,0,0.01,0,0
12:25:23.195,0,0,0,0,0,0,0.01,0
12:25:23.242,0,0,-0.01,-0.01,0,0,0,0
12:25:23.253,-0.01,0,0,0.01,0,0,0,0
12:25:23.262,-0.01,0,0,0.01,0,0,0,0
12:25:23.273,0,0,0,0,0,0,0,0
12:25:23.283,0,0,0,0,0,0,0,0
12:25:23.296,0,-0.01,0,-0.01,0,0,0,0
12:25:23.308,0,0,0,0,-0.01,0.01,-0.02,0
12:25:23.351,-0.01,0.01,0,0,0,0,0,0
12:25:23.366,0,-0.01,-0.02,0,0,0,0,-0.01
12:25:23.380,0,-0.01,0,0,-0.02,0,0,-0.01
12:25:23.390,0,0,0.01,-0.02,0,-0.02,0,0
