time,currentData_1,currentData_2,currentData_3,currentData_4,currentData_5,currentData_6,currentData_7,currentData_8
11:35:13.567,0.02,0.01,0.12,0.04,0.09,0.26,0.11,0.04
11:35:13.576,0.07,-0.07,0.07,-0.01,-0.14,-0.36,-0.38,-0.15
11:35:13.586,0,0.01,0.15,0,0,-0.04,-0.15,-0.02
11:35:13.597,-0.02,-0.01,-0.14,-0.04,-0.11,-0.37,0.08,-0.08
11:35:13.607,-0.02,-0.01,-0.14,-0.04,-0.11,-0.37,0.08,-0.08
11:35:13.620,-0.05,-0.04,-0.03,0,-0.08,-0.21,0.05,0.02
11:35:13.630,-0.06,0.04,0.02,0.02,0.02,0.04,-0.18,-0.02
11:35:13.640,0.02,-0.05,-0.04,0.03,0.06,0.4,0.08,0.02
11:35:13.682,-0.01,-0.01,0.01,0,-0.06,-0.37,0.29,-0.01
11:35:13.697,0.01,0.04,-0.03,-0.02,-0.06,-0.2,0.11,0
11:35:13.714,0,0,-0.08,-0.02,-0.01,-0.26,0.01,0.07
11:35:13.726,-0.02,-0.02,0.05,0.01,0.01,0.12,0.25,0
11:35:13.738,-0.02,-0.03,0,-0.03,-0.05,-0.25,-0.13,-0.01
11:35:13.748,-0.01,0,-0.11,-0.02,-0.02,0.19,-0.12,0
11:35:13.792,-0.04,0,-0.03,-0.02,0.01,-0.22,-0.06,-0.03
11:35:13.807,0,-0.04,0,-0.02,-0.06,-0.14,0.2,0.04
11:35:13.820,0.01,0,0.02,-0.02,0,-0.05,-0.03,0
11:35:13.830,0.01,0,0.02,-0.02,0,-0.05,-0.03,0
11:35:13.841,0.03,0,-0.03,0.03,0.05,-0.09,-0.04,0.04
11:35:13.852,0,0.01,0.05,0,0,-0.03,-0.32,-0.04
11:35:13.894,0,-0.1,-0.17,-0.05,0,0.17,0.12,0.03
11:35:13.906,0,0.03,0.07,0,-0.04,-0.29,-0.06,-0.01
11:35:13.916,-0.01,-0.01,-0.02,0,-0.03,-0.08,-0.04,-0.08
11:35:13.927,-0.01,-0.01,-0.07,0,0.04,0.04,-0.3,0
11:35:13.936,-0.01,-0.01,-0.07,0,0.04,0.04,-0.3,0
11:35:13.948,0,0.06,0.13,0.01,0.01,0.21,-0.06,-0.01
11:35:13.961,0,0.03,0.06,0,-0.05,-0.27,0.21,0.01
